sales_year,kind_of_business,sales
1992,Book stores,8327
1992,"Hobby, toy, and game stores",11251
1992,Sporting goods stores,15583
1993,Book stores,9108
1993,"Hobby, toy, and game stores",11651
1993,Sporting goods stores,16791
1994,Book stores,10107
1994,"Hobby, toy, and game stores",12850
1994,Sporting goods stores,18825
1995,Book stores,11196
1995,"Hobby, toy, and game stores",13714
1995,Sporting goods stores,19869
1996,Book stores,11905
1996,"Hobby, toy, and game stores",14502
1996,Sporting goods stores,20810
1997,Book stores,12742
1997,"Hobby, toy, and game stores",15021
1997,Sporting goods stores,21167
1998,Book stores,13282
1998,"Hobby, toy, and game stores",15833
1998,Sporting goods stores,22284
1999,Book stores,14172
1999,"Hobby, toy, and game stores",16651
1999,Sporting goods stores,23699
2000,Book stores,14879
2000,"Hobby, toy, and game stores",16947
2000,Sporting goods stores,25308
2001,Book stores,15098
2001,"Hobby, toy, and game stores",16820
2001,Sporting goods stores,26158
2002,Book stores,15437
2002,"Hobby, toy, and game stores",16909
2002,Sporting goods stores,26219
2003,Book stores,16219
2003,"Hobby, toy, and game stores",16582
2003,Sporting goods stores,27000
2004,Book stores,16881
2004,"Hobby, toy, and game stores",16314
2004,Sporting goods stores,28640
2005,Book stores,16992
2005,"Hobby, toy, and game stores",16255
2005,Sporting goods stores,30713
2006,Book stores,16978
2006,"Hobby, toy, and game stores",16020
2006,Sporting goods stores,33869
2007,Book stores,17171
2007,"Hobby, toy, and game stores",16344
2007,Sporting goods stores,35804
2008,Book stores,16801
2008,"Hobby, toy, and game stores",16107
2008,Sporting goods stores,36777
2009,Book stores,15802
2009,"Hobby, toy, and game stores",15530
2009,Sporting goods stores,36574
2010,Book stores,15238
2010,"Hobby, toy, and game stores",15805
2010,Sporting goods stores,37407
2011,Book stores,13716
2011,"Hobby, toy, and game stores",16119
2011,Sporting goods stores,38995
2012,Book stores,12269
2012,"Hobby, toy, and game stores",16620
2012,Sporting goods stores,42142
2013,Book stores,11489
2013,"Hobby, toy, and game stores",16907
2013,Sporting goods stores,44401
2014,Book stores,11325
2014,"Hobby, toy, and game stores",17409
2014,Sporting goods stores,44723
2015,Book stores,10998
2015,"Hobby, toy, and game stores",18009
2015,Sporting goods stores,46326
2016,Book stores,10741
2016,"Hobby, toy, and game stores",18297
2016,Sporting goods stores,47290
2017,Book stores,10375
2017,"Hobby, toy, and game stores",18075
2017,Sporting goods stores,45111
2018,Book stores,9617
2018,"Hobby, toy, and game stores",16832
2018,Sporting goods stores,43857
2019,Book stores,8844
2019,"Hobby, toy, and game stores",16261
2019,Sporting goods stores,43808
2020,Book stores,6425
2020,"Hobby, toy, and game stores",17287
2020,Sporting goods stores,53344
