"sales_month","kind_of_business","sales"
"1992-01-01","Men's clothing stores",701
"1992-01-01","Women's clothing stores",1873
"1992-02-01","Men's clothing stores",658
"1992-02-01","Women's clothing stores",1991
"1992-07-01","Women's clothing stores",2373
"1992-03-01","Men's clothing stores",731
"1992-03-01","Women's clothing stores",2403
"1992-04-01","Men's clothing stores",816
"1992-04-01","Women's clothing stores",2665
"1992-05-01","Men's clothing stores",856
"1992-05-01","Women's clothing stores",2752
"1992-06-01","Men's clothing stores",853
"1992-06-01","Women's clothing stores",2424
"1992-07-01","Men's clothing stores",714
"1992-08-01","Men's clothing stores",777
"1992-08-01","Women's clothing stores",2657
"1992-09-01","Men's clothing stores",762
"1992-09-01","Women's clothing stores",2560
"1992-10-01","Men's clothing stores",841
"1992-10-01","Women's clothing stores",2755
"1992-11-01","Men's clothing stores",913
"1992-11-01","Women's clothing stores",2946
"1992-12-01","Men's clothing stores",1557
"1992-12-01","Women's clothing stores",4416
"1993-01-01","Men's clothing stores",695
"1993-01-01","Women's clothing stores",2123
"1993-02-01","Men's clothing stores",618
"1993-02-01","Women's clothing stores",2005
"1993-03-01","Men's clothing stores",706
"1993-03-01","Women's clothing stores",2442
"1993-04-01","Men's clothing stores",796
"1993-04-01","Women's clothing stores",2762
"1993-05-01","Men's clothing stores",809
"1993-05-01","Women's clothing stores",2873
"1993-06-01","Men's clothing stores",792
"1993-06-01","Women's clothing stores",2552
"1993-07-01","Men's clothing stores",722
"1993-07-01","Women's clothing stores",2539
"1993-08-01","Men's clothing stores",729
"1993-08-01","Women's clothing stores",2626
"1993-09-01","Men's clothing stores",748
"1993-09-01","Women's clothing stores",2622
"1993-10-01","Men's clothing stores",836
"1993-10-01","Women's clothing stores",2713
"1993-11-01","Men's clothing stores",913
"1993-11-01","Women's clothing stores",2923
"1993-12-01","Men's clothing stores",1598
"1993-12-01","Women's clothing stores",4170
"1994-01-01","Men's clothing stores",688
"1994-01-01","Women's clothing stores",1786
"1994-02-01","Men's clothing stores",632
"1994-02-01","Women's clothing stores",1970
"1994-03-01","Men's clothing stores",762
"1994-03-01","Women's clothing stores",2560
"1994-04-01","Men's clothing stores",774
"1994-04-01","Women's clothing stores",2558
"1994-05-01","Men's clothing stores",791
"1994-05-01","Women's clothing stores",2552
"1994-06-01","Men's clothing stores",819
"1994-06-01","Women's clothing stores",2447
"1994-07-01","Men's clothing stores",719
"1994-07-01","Women's clothing stores",2248
"1994-08-01","Men's clothing stores",754
"1994-08-01","Women's clothing stores",2538
"1994-09-01","Men's clothing stores",754
"1994-09-01","Women's clothing stores",2418
"1994-10-01","Men's clothing stores",836
"1994-10-01","Women's clothing stores",2572
"1994-11-01","Men's clothing stores",935
"1994-11-01","Women's clothing stores",2798
"1994-12-01","Men's clothing stores",1568
"1994-12-01","Women's clothing stores",4138
"1995-01-01","Men's clothing stores",661
"1995-01-01","Women's clothing stores",1723
"1995-02-01","Men's clothing stores",607
"1995-02-01","Women's clothing stores",1810
"1995-03-01","Men's clothing stores",674
"1995-03-01","Women's clothing stores",2393
"1995-04-01","Men's clothing stores",726
"1995-04-01","Women's clothing stores",2438
"1995-05-01","Men's clothing stores",721
"1995-05-01","Women's clothing stores",2535
"1995-06-01","Men's clothing stores",740
"1995-06-01","Women's clothing stores",2357
"1995-07-01","Men's clothing stores",642
"1995-07-01","Women's clothing stores",2172
"1995-08-01","Men's clothing stores",697
"1995-08-01","Women's clothing stores",2326
"1995-09-01","Men's clothing stores",722
"1995-09-01","Women's clothing stores",2370
"1995-10-01","Men's clothing stores",756
"1995-10-01","Women's clothing stores",2312
"1995-11-01","Men's clothing stores",903
"1995-11-01","Women's clothing stores",2567
"1995-12-01","Men's clothing stores",1466
"1995-12-01","Women's clothing stores",3693
"1996-01-01","Men's clothing stores",639
"1996-01-01","Women's clothing stores",1565
"1996-02-01","Men's clothing stores",651
"1996-02-01","Women's clothing stores",1834
"1996-03-01","Men's clothing stores",708
"1996-03-01","Women's clothing stores",2193
"1996-04-01","Men's clothing stores",718
"1996-04-01","Women's clothing stores",2346
"1996-05-01","Men's clothing stores",774
"1996-05-01","Women's clothing stores",2552
"1996-06-01","Men's clothing stores",759
"1996-06-01","Women's clothing stores",2375
"1996-07-01","Men's clothing stores",660
"1996-07-01","Women's clothing stores",2072
"1996-08-01","Men's clothing stores",761
"1996-08-01","Women's clothing stores",2353
"1996-09-01","Men's clothing stores",744
"1996-09-01","Women's clothing stores",2276
"1996-10-01","Men's clothing stores",793
"1996-10-01","Women's clothing stores",2413
"1996-11-01","Men's clothing stores",919
"1996-11-01","Women's clothing stores",2594
"1996-12-01","Men's clothing stores",1420
"1996-12-01","Women's clothing stores",3665
"1997-01-01","Men's clothing stores",697
"1997-01-01","Women's clothing stores",1699
"1997-02-01","Men's clothing stores",633
"1997-02-01","Women's clothing stores",1813
