"sales_year","womens_sales","mens_sales"
1992,31815,10179
1993,32350,9962
1994,30585,10032
1995,28696,9315
1996,28238,9546
1997,27822,10069
1998,28332,10196
1999,29549,9667
2000,31447,9507
2001,31453,8625
2002,31246,8112
2003,32565,8249
2004,34954,8566
2005,37075,8737
2006,38809,8844
2007,40294,8772
2008,38402,8351
2009,36055,7353
2010,37690,7285
2011,40048,7860
2012,41794,8272
2013,41787,8670
2014,41575,8870
2015,41065,8810
2016,40845,8494
2017,40660,8298
2018,41173,8208
2019,40861,7981
2020,26526,3681
