"sales_year","womens_pctg_of_mens"
2005,324.3447407576971500
2014,368.7147688838782400
2006,338.8172772501130700
2010,417.3644474948524400
2001,264.6724637681159400
1994,204.8744019138756000
2013,381.9723183391003500
2002,285.1824457593688400
2016,380.8688485990110700
1996,195.8097632516237200
1995,208.0622651637144400
2012,405.2466150870406200
2017,389.9975897806700400
1998,177.8736759513534700
1999,205.6687700424123300
2009,390.3440772473820200
2007,359.3479252165982700
1992,212.5552608311229000
2011,409.5165394402035600
2019,411.9784488159378500
2018,401.6203703703703700
1997,176.3134372827490300
2004,308.0551015643240700
2000,230.7773219732828400
2008,359.8491198658843300
2015,366.1180476730987500
2003,294.7751242574857600
1993,224.7339891588034500
