"sales_month","kind_of_business","pctg_total_sales"
"2009-07-01","Women's clothing stores",100.0000000000000000
"2006-03-01","Women's clothing stores",100.0000000000000000
"2000-09-01","Men's clothing stores",28.2543265613243040
"2004-04-01","Men's clothing stores",22.2957327158451869
"2003-07-01","Men's clothing stores",24.5714285714285714
"2017-05-01","Men's clothing stores",21.5984513274336283
"2009-05-01","Women's clothing stores",100.0000000000000000
"2001-08-01","Men's clothing stores",27.9218338970311913
"2010-12-01","Men's clothing stores",22.2522522522522523
"2018-07-01","Women's clothing stores",100.0000000000000000
"2009-03-01","Men's clothing stores",18.3542160514730782
"1998-06-01","Women's clothing stores",100.0000000000000000
"2018-01-01","Men's clothing stores",22.0828105395232120
"1995-12-01","Women's clothing stores",100.0000000000000000
"2020-11-01","Men's clothing stores",NULL
"2014-10-01","Women's clothing stores",100.0000000000000000
"2015-09-01","Men's clothing stores",21.8394437420986094
"2012-01-01","Women's clothing stores",100.0000000000000000
"1994-04-01","Men's clothing stores",30.2580140734949179
"2001-05-01","Men's clothing stores",25.8463778667637423
"1998-09-01","Women's clothing stores",100.0000000000000000
"2015-06-01","Men's clothing stores",22.1603218817703497
"2011-11-01","Men's clothing stores",19.5034482758620690
"2013-05-01","Women's clothing stores",100.0000000000000000
"2003-04-01","Women's clothing stores",100.0000000000000000
"1998-08-01","Women's clothing stores",100.0000000000000000
"1996-01-01","Women's clothing stores",100.0000000000000000
"1995-03-01","Women's clothing stores",100.0000000000000000
"2011-10-01","Women's clothing stores",100.0000000000000000
"2015-11-01","Women's clothing stores",100.0000000000000000
"2001-07-01","Men's clothing stores",27.0878407615750757
"2014-12-01","Women's clothing stores",100.0000000000000000
"1998-11-01","Men's clothing stores",37.7321216910312130
"2007-06-01","Women's clothing stores",100.0000000000000000
"2017-03-01","Women's clothing stores",100.0000000000000000
"1997-08-01","Women's clothing stores",100.0000000000000000
"2016-08-01","Women's clothing stores",100.0000000000000000
"2013-11-01","Women's clothing stores",100.0000000000000000
"1998-12-01","Women's clothing stores",100.0000000000000000
"1994-05-01","Men's clothing stores",30.9952978056426332
"1994-01-01","Women's clothing stores",100.0000000000000000
"1993-01-01","Men's clothing stores",32.7366933584550165
