"sales_month","kind_of_business","sales","total_sales","pctg_total"
"1992-01-01","Women's clothing stores",1873,2574,72.7661227661227661
"1992-01-01","Men's clothing stores",701,2574,27.2338772338772339
"1992-02-01","Men's clothing stores",658,2649,24.8395620989052473
"1992-02-01","Women's clothing stores",1991,2649,75.1604379010947527
"1992-03-01","Women's clothing stores",2403,3134,76.6751754945756222
"1992-03-01","Men's clothing stores",731,3134,23.3248245054243778
"1992-04-01","Men's clothing stores",816,3481,23.4415397874174088
"1992-04-01","Women's clothing stores",2665,3481,76.5584602125825912
"1992-05-01","Women's clothing stores",2752,3608,76.2749445676274945
"1992-05-01","Men's clothing stores",856,3608,23.7250554323725055
"1992-06-01","Men's clothing stores",853,3277,26.0299054012816601
"1992-06-01","Women's clothing stores",2424,3277,73.9700945987183399
"1992-07-01","Women's clothing stores",2373,3087,76.8707482993197279
"1992-07-01","Men's clothing stores",714,3087,23.1292517006802721
"1992-08-01","Women's clothing stores",2657,3434,77.3733255678509027
"1992-08-01","Men's clothing stores",777,3434,22.6266744321490973
"1992-09-01","Men's clothing stores",762,3322,22.9379891631547261
"1992-09-01","Women's clothing stores",2560,3322,77.0620108368452739
"1992-10-01","Men's clothing stores",841,3596,23.3870967741935484
"1992-10-01","Women's clothing stores",2755,3596,76.6129032258064516
"1992-11-01","Women's clothing stores",2946,3859,76.3410209898937549
"1992-11-01","Men's clothing stores",913,3859,23.6589790101062451
"1992-12-01","Men's clothing stores",1557,5973,26.0673028628829734
"1992-12-01","Women's clothing stores",4416,5973,73.9326971371170266
"1993-01-01","Men's clothing stores",695,2818,24.6628814762242725
"1993-01-01","Women's clothing stores",2123,2818,75.3371185237757275
"1993-02-01","Men's clothing stores",618,2623,23.5608082348455966
"1993-02-01","Women's clothing stores",2005,2623,76.4391917651544034
"1993-03-01","Men's clothing stores",706,3148,22.4269377382465057
"1993-03-01","Women's clothing stores",2442,3148,77.5730622617534943
"1993-04-01","Men's clothing stores",796,3558,22.3721191680719505
"1993-04-01","Women's clothing stores",2762,3558,77.6278808319280495
"1993-05-01","Men's clothing stores",809,3682,21.9717544812601847
"1993-05-01","Women's clothing stores",2873,3682,78.0282455187398153
"1993-06-01","Men's clothing stores",792,3344,23.6842105263157895
"1993-06-01","Women's clothing stores",2552,3344,76.3157894736842105
"1993-07-01","Men's clothing stores",722,3261,22.1404477154247163
"1993-07-01","Women's clothing stores",2539,3261,77.8595522845752837
"1993-08-01","Men's clothing stores",729,3355,21.7287630402384501
"1993-08-01","Women's clothing stores",2626,3355,78.2712369597615499
"1993-09-01","Men's clothing stores",748,3370,22.1958456973293769
"1993-09-01","Women's clothing stores",2622,3370,77.8041543026706231
"1993-10-01","Women's clothing stores",2713,3549,76.4440687517610595
"1993-10-01","Men's clothing stores",836,3549,23.5559312482389405
"1993-11-01","Men's clothing stores",913,3836,23.8008342022940563
"1993-11-01","Women's clothing stores",2923,3836,76.1991657977059437
"1993-12-01","Men's clothing stores",1598,5768,27.7045769764216366
"1993-12-01","Women's clothing stores",4170,5768,72.2954230235783634
"1994-01-01","Men's clothing stores",688,2474,27.8092158447857720
"1994-01-01","Women's clothing stores",1786,2474,72.1907841552142280
"1994-02-01","Men's clothing stores",632,2602,24.2890084550345888
"1994-02-01","Women's clothing stores",1970,2602,75.7109915449654112
"1994-03-01","Men's clothing stores",762,3322,22.9379891631547261
"1994-03-01","Women's clothing stores",2560,3322,77.0620108368452739
"1994-04-01","Men's clothing stores",774,3332,23.2292917166866747
"1994-04-01","Women's clothing stores",2558,3332,76.7707082833133253
"1994-05-01","Men's clothing stores",791,3343,23.6613819922225546
"1994-05-01","Women's clothing stores",2552,3343,76.3386180077774454
"1994-06-01","Men's clothing stores",819,3266,25.0765462339252909
"1994-06-01","Women's clothing stores",2447,3266,74.9234537660747091
"1994-07-01","Men's clothing stores",719,2967,24.2332322210987529
"1994-07-01","Women's clothing stores",2248,2967,75.7667677789012471
"1994-08-01","Men's clothing stores",754,3292,22.9040097205346294
"1994-08-01","Women's clothing stores",2538,3292,77.0959902794653706
"1994-09-01","Men's clothing stores",754,3172,23.7704918032786885
"1994-09-01","Women's clothing stores",2418,3172,76.2295081967213115
"1994-10-01","Men's clothing stores",836,3408,24.5305164319248826
"1994-10-01","Women's clothing stores",2572,3408,75.4694835680751174
"1994-11-01","Men's clothing stores",935,3733,25.0468791856415751
"1994-11-01","Women's clothing stores",2798,3733,74.9531208143584249
"1994-12-01","Men's clothing stores",1568,5706,27.4798457763757448
"1994-12-01","Women's clothing stores",4138,5706,72.5201542236242552
"1995-01-01","Men's clothing stores",661,2384,27.7265100671140940
"1995-01-01","Women's clothing stores",1723,2384,72.2734899328859060
"1995-02-01","Men's clothing stores",607,2417,25.1137774100124121
"1995-02-01","Women's clothing stores",1810,2417,74.8862225899875879
"1995-03-01","Men's clothing stores",674,3067,21.9758721878056733
"1995-03-01","Women's clothing stores",2393,3067,78.0241278121943267
"1995-04-01","Men's clothing stores",726,3164,22.9456384323640961
"1995-04-01","Women's clothing stores",2438,3164,77.0543615676359039
"1995-05-01","Men's clothing stores",721,3256,22.1437346437346437
"1995-05-01","Women's clothing stores",2535,3256,77.8562653562653563
"1995-06-01","Men's clothing stores",740,3097,23.8940910558605102
"1995-06-01","Women's clothing stores",2357,3097,76.1059089441394898
"1995-07-01","Men's clothing stores",642,2814,22.8144989339019190
"1995-07-01","Women's clothing stores",2172,2814,77.1855010660980810
"1995-08-01","Men's clothing stores",697,3023,23.0565663248428713
"1995-08-01","Women's clothing stores",2326,3023,76.9434336751571287
"1995-09-01","Men's clothing stores",722,3092,23.3505821474773609
"1995-09-01","Women's clothing stores",2370,3092,76.6494178525226391
"1995-10-01","Men's clothing stores",756,3068,24.6414602346805737
"1995-10-01","Women's clothing stores",2312,3068,75.3585397653194263
"1995-11-01","Men's clothing stores",903,3470,26.0230547550432277
"1995-11-01","Women's clothing stores",2567,3470,73.9769452449567723
"1995-12-01","Men's clothing stores",1466,5159,28.4163597596433417
"1995-12-01","Women's clothing stores",3693,5159,71.5836402403566583
"1996-01-01","Men's clothing stores",639,2204,28.9927404718693285
"1996-01-01","Women's clothing stores",1565,2204,71.0072595281306715
"1996-02-01","Men's clothing stores",651,2485,26.1971830985915493
"1996-02-01","Women's clothing stores",1834,2485,73.8028169014084507
"1996-03-01","Men's clothing stores",708,2901,24.4053774560496381
"1996-03-01","Women's clothing stores",2193,2901,75.5946225439503619
"1996-04-01","Men's clothing stores",718,3064,23.4334203655352480
"1996-04-01","Women's clothing stores",2346,3064,76.5665796344647520
"1996-05-01","Men's clothing stores",774,3326,23.2711966325917017
"1996-05-01","Women's clothing stores",2552,3326,76.7288033674082983
"1996-06-01","Men's clothing stores",759,3134,24.2182514358647096
"1996-06-01","Women's clothing stores",2375,3134,75.7817485641352904
"1996-07-01","Men's clothing stores",660,2732,24.1581259150805271
"1996-07-01","Women's clothing stores",2072,2732,75.8418740849194729
"1996-08-01","Men's clothing stores",761,3114,24.4380218368657675
"1996-08-01","Women's clothing stores",2353,3114,75.5619781631342325
"1996-09-01","Men's clothing stores",744,3020,24.6357615894039735
"1996-09-01","Women's clothing stores",2276,3020,75.3642384105960265
"1996-10-01","Men's clothing stores",793,3206,24.7348721147847785
"1996-10-01","Women's clothing stores",2413,3206,75.2651278852152215
"1996-11-01","Men's clothing stores",919,3513,26.1599772274409337
"1996-11-01","Women's clothing stores",2594,3513,73.8400227725590663
"1996-12-01","Men's clothing stores",1420,5085,27.9252704031465093
"1996-12-01","Women's clothing stores",3665,5085,72.0747295968534907
"1997-01-01","Men's clothing stores",697,2396,29.0901502504173623
"1997-01-01","Women's clothing stores",1699,2396,70.9098497495826377
"1997-02-01","Men's clothing stores",633,2446,25.8789860997547016
"1997-02-01","Women's clothing stores",1813,2446,74.1210139002452984
"1997-03-01","Men's clothing stores",746,3099,24.0722813810906744
"1997-03-01","Women's clothing stores",2353,3099,75.9277186189093256
"1997-04-01","Men's clothing stores",716,2943,24.3289160720353381
"1997-04-01","Women's clothing stores",2227,2943,75.6710839279646619
"1997-05-01","Men's clothing stores",809,3238,24.9845583693638048
"1997-05-01","Women's clothing stores",2429,3238,75.0154416306361952
"1997-06-01","Men's clothing stores",793,2992,26.5040106951871658
"1997-06-01","Women's clothing stores",2199,2992,73.4959893048128342
"1997-07-01","Men's clothing stores",737,2840,25.9507042253521127
"1997-07-01","Women's clothing stores",2103,2840,74.0492957746478873
"1997-08-01","Men's clothing stores",846,3180,26.6037735849056604
"1997-08-01","Women's clothing stores",2334,3180,73.3962264150943396
"1997-09-01","Men's clothing stores",761,3026,25.1487111698612029
"1997-09-01","Women's clothing stores",2265,3026,74.8512888301387971
"1997-10-01","Men's clothing stores",870,3228,26.9516728624535316
"1997-10-01","Women's clothing stores",2358,3228,73.0483271375464684
"1997-11-01","Men's clothing stores",987,3473,28.4192340915634898
"1997-11-01","Women's clothing stores",2486,3473,71.5807659084365102
"1997-12-01","Men's clothing stores",1474,5030,29.3041749502982107
"1997-12-01","Women's clothing stores",3556,5030,70.6958250497017893
"1998-01-01","Men's clothing stores",716,2438,29.3683347005742412
"1998-01-01","Women's clothing stores",1722,2438,70.6316652994257588
"1998-02-01","Men's clothing stores",644,2411,26.7109083367897138
"1998-02-01","Women's clothing stores",1767,2411,73.2890916632102862
"1998-03-01","Men's clothing stores",735,2929,25.0938886992147491
"1998-03-01","Women's clothing stores",2194,2929,74.9061113007852509
"1998-04-01","Men's clothing stores",844,3351,25.1865114891077290
"1998-04-01","Women's clothing stores",2507,3351,74.8134885108922710
"1998-05-01","Men's clothing stores",836,3348,24.9701314217443250
"1998-05-01","Women's clothing stores",2512,3348,75.0298685782556750
"1998-06-01","Men's clothing stores",817,3071,26.6037121458808206
"1998-06-01","Women's clothing stores",2254,3071,73.3962878541191794
