"sales_month","kind_of_business","sales","yearly_sales","pctg_yearly"
"1992-01-01","Men's clothing stores",701,10179,6.8867275763827488
"1992-01-01","Women's clothing stores",1873,31815,5.8871601445858872
"1992-02-01","Women's clothing stores",1991,31815,6.2580543768662581
"1992-02-01","Men's clothing stores",658,10179,6.4642892229099126
"1992-03-01","Women's clothing stores",2403,31815,7.5530410183875530
"1992-03-01","Men's clothing stores",731,10179,7.1814520090382159
"1992-04-01","Men's clothing stores",816,10179,8.0165045682287062
"1992-04-01","Women's clothing stores",2665,31815,8.3765519409083766
"1992-05-01","Men's clothing stores",856,10179,8.4094704784359957
"1992-05-01","Women's clothing stores",2752,31815,8.6500078579286500
"1992-06-01","Women's clothing stores",2424,31815,7.6190476190476190
"1992-06-01","Men's clothing stores",853,10179,8.3799980351704490
"1992-07-01","Men's clothing stores",714,10179,7.0144414972001179
"1992-07-01","Women's clothing stores",2373,31815,7.4587458745874587
"1992-08-01","Men's clothing stores",777,10179,7.6333628057765989
"1992-08-01","Women's clothing stores",2657,31815,8.3514065692283514
"1992-09-01","Men's clothing stores",762,10179,7.4860005894488653
"1992-09-01","Women's clothing stores",2560,31815,8.0465189376080465
"1992-10-01","Men's clothing stores",841,10179,8.2621082621082621
"1992-10-01","Women's clothing stores",2755,31815,8.6594373723086594
"1992-11-01","Men's clothing stores",913,10179,8.9694469004813832
"1992-11-01","Women's clothing stores",2946,31815,9.2597831211692598
"1992-12-01","Men's clothing stores",1557,10179,15.2961980548187445
"1992-12-01","Women's clothing stores",4416,31815,13.8802451673738802
"1993-01-01","Men's clothing stores",695,9962,6.9765107408150974
"1993-01-01","Women's clothing stores",2123,32350,6.5625965996908810
"1993-02-01","Women's clothing stores",2005,32350,6.1978361669242658
"1993-02-01","Men's clothing stores",618,9962,6.2035735796024895
"1993-03-01","Men's clothing stores",706,9962,7.0869303352740414
"1993-03-01","Women's clothing stores",2442,32350,7.5486862442040185
"1993-04-01","Men's clothing stores",796,9962,7.9903633808472194
"1993-04-01","Women's clothing stores",2762,32350,8.5378670788253478
"1993-05-01","Women's clothing stores",2873,32350,8.8809891808346213
"1993-05-01","Men's clothing stores",809,9962,8.1208592652077896
"1993-06-01","Women's clothing stores",2552,32350,7.8887171561051005
"1993-06-01","Men's clothing stores",792,9962,7.9502108010439671
"1993-07-01","Men's clothing stores",722,9962,7.2475406544870508
"1993-07-01","Women's clothing stores",2539,32350,7.8485316846986090
"1993-08-01","Women's clothing stores",2626,32350,8.1174652241112828
"1993-08-01","Men's clothing stores",729,9962,7.3178076691427424
"1993-09-01","Men's clothing stores",748,9962,7.5085324232081911
"1993-09-01","Women's clothing stores",2622,32350,8.1051004636785162
"1993-10-01","Women's clothing stores",2713,32350,8.3863987635239567
"1993-10-01","Men's clothing stores",836,9962,8.3918891788797430
"1993-11-01","Women's clothing stores",2923,32350,9.0355486862442040
"1993-11-01","Men's clothing stores",913,9962,9.1648263400923509
"1993-12-01","Men's clothing stores",1598,9962,16.0409556313993174
"1993-12-01","Women's clothing stores",4170,32350,12.8902627511591963
"1994-01-01","Men's clothing stores",688,10032,6.8580542264752791
"1994-01-01","Women's clothing stores",1786,30585,5.8394637894392676
"1994-02-01","Men's clothing stores",632,10032,6.2998405103668262
"1994-02-01","Women's clothing stores",1970,30585,6.4410658819682851
"1994-03-01","Women's clothing stores",2560,30585,8.3701160699689390
"1994-03-01","Men's clothing stores",762,10032,7.5956937799043062
"1994-04-01","Women's clothing stores",2558,30585,8.3635769167892758
