"sales_month","sales","moving_avg","records_count"
"1995-11-01",2567,2428.4166666666666667,12
"2006-02-01",2518,3110.0000000000000000,12
"2003-06-01",2536,2603.8333333333333333,12
"2000-05-01",2810,2497.5000000000000000,12
"2013-11-01",3830,3477.5000000000000000,12
"1997-12-01",3556,2318.5000000000000000,12
"2007-12-01",4703,3357.8333333333333333,12
"1996-07-01",2072,2350.4166666666666667,12
"2009-09-01",2939,3004.5000000000000000,12
"2017-11-01",3774,3390.3333333333333333,12
"2011-08-01",3027,3264.8333333333333333,12
"2010-01-01",2304,3006.1666666666666667,12
"2015-08-01",3383,3446.6666666666666667,12
"2014-12-01",4952,3464.5833333333333333,12
"2010-11-01",3454,3110.3333333333333333,12
"1993-03-01",2442,2676.5000000000000000,12
"2014-11-01",3859,3447.7500000000000000,12
"1997-02-01",1813,2362.5833333333333333,12
"1993-06-01",2552,2705.3333333333333333,12
"2013-10-01",3515,3476.9166666666666667,12
"1996-01-01",1565,2378.1666666666666667,12
"2013-09-01",3293,3474.1666666666666667,12
"2003-04-01",2724,2594.1666666666666667,12
"1999-03-01",2507,2398.6666666666666667,12
"2009-12-01",4074,3004.5833333333333333,12
"2020-06-01",2027,2659.6666666666666667,12
"2006-12-01",5019,3234.0833333333333333,12
"2017-01-01",2454,3401.8333333333333333,12
"2004-02-01",2402,2757.3333333333333333,12
"2006-10-01",3197,3206.1666666666666667,12
"2012-10-01",3482,3476.5833333333333333,12
"2008-12-01",4044,3200.1666666666666667,12
"2017-03-01",3485,3372.6666666666666667,12
"2012-01-01",2544,3353.9166666666666667,12
"2011-02-01",2753,3167.0000000000000000,12
"2015-05-01",3746,3448.4166666666666667,12
"2020-08-01",2386,2507.4166666666666667,12
"2007-11-01",3598,3384.1666666666666667,12
"2014-09-01",3247,3447.9166666666666667,12
"2007-09-01",3177,3359.7500000000000000,12
"2001-02-01",2154,2656.1666666666666667,12
"1994-04-01",2558,2657.6666666666666667,12
"1997-06-01",2199,2341.0833333333333333,12
"2003-07-01",2450,2619.6666666666666667,12
"2002-05-01",2755,2624.5000000000000000,12
